10000138	COOLING DEVICE OF ONBOARD SECONDARY BATTERY. A cooling device of an onboard secondary battery, includes a housing that is provided in a vehicle, and houses a battery pack including a secondary battery and a case that covers the secondary battery, a blower that blows an air at an outside of the vehicle into the housing, a temperature determiner that determines whether or not an air temperature of the outside of the vehicle is lower than a temperature of the secondary battery, and a blow controller that drives the blower, when the temperature determiner determines that the air temperature of the outside of the vehicle is lower than the temperature of the secondary battery.
10002326	Compilation of Finite Automata Based on Memory Hierarchy. At least one per-pattern non-deterministic finite automaton (NFA) may be generated for a single regular expression pattern and may include a respective set of nodes. Nodes of the respective set of nodes of each per-pattern NFA generated may be distributed for storing in a plurality of memories based on hierarchical levels mapped to the plurality of memories and per-pattern NFA storage allocation settings configured for the hierarchical levels, optimizing run time performance for matching regular expression patterns in an input stream.
10008710	OVERCHARGE PROTECTION ASSEMBLY FOR A BATTERY MODULE. The present disclosure includes a lithium-ion battery module that has a housing and a plurality of lithium-ion battery cells disposed in the housing. Each of the plurality of lithium-ion battery cells includes a first terminal with a first polarity, a second terminal with a second polarity opposite to the first polarity, an overcharge protection assembly, and a casing electrically coupled to the first terminal such that the casing has the first polarity, where the casing has an electrically conductive material. The lithium-ion battery module also includes a vent of the overcharge protection assembly electrically coupled to the casing and a conductive component of the overcharge protection assembly electrically coupled to the second terminal, and the vent is configured to contact the conductive component to cause a short circuit and to vent a gas from the casing into the housing when a pressure in the casing reaches a threshold value.
10020508	COMPOSITE MATERIAL AS ELECTRODE FOR SODIUM ION BATTERIES, PRODUCTION METHOD THEREFOR, AND ALL-SOLID-STATE SODIUM BATTERY. A composite material as an electrode for a sodium ion secondary battery includes an active material crystal, a sodium-ion conductive crystal, and an amorphous phase. The active material crystal may contain Na, M (where M represents at least one kind of transition metal element selected from Cr, Fe, Mn, Co, and Ni), P, and O.
10024927	CONNECTOR FOR MONITORING THE VOLTAGE OF A FUEL CELL STACK. A cell monitor connector is provided that can prevent detachment of the cell monitor connector from a fuel cell device with a simple configuration. A connector 4 for measuring voltage has a housing 41 with a plurality of slits 45 formed therein and an end of a separator 21 of a plurality of fuel cells 2 can be inserted into the slits 45. The housing 41 has a rib 46R at at least one end in the stacking direction of the fuel cells 2 such that the rib 46R projects in a direction perpendicular to the stacking direction.
10033029	Battery with Increased Energy Density and Method of Manufacturing the Same. A battery core includes an anode electrode collector and a cathode current collector. The battery core is created by defining an anode solution cavity on an anode electrode collector; defining a cathode solution cavity on a cathode electrode collector; depositing an anode solution into the anode solution cavity; depositing a cathode solution into the cathode solution cavity; curing the anode solution within the anode solution cavity; and curing the cathode solution within the cathode solution cavity. The anode electrode collector and the cathode current collector may be combined in a sandwich configuration and may be separated by one or more separators.
10033212	BATTERY CELL WITH DISCRETION TO DRIVE LOADS WITHIN BATTERY STACK. Embodiments of the present invention are directed to improved battery packaging designs. The battery pack design may include a battery cell, a plurality of transistors, and a controller. The transistors may be coupled to the terminals of the battery cell in an H-bridge configuration. The controller may control the transistors to bypass the battery cell based on the current flowing between the output terminals of the battery pack. In such a manner, the controller may prevent damage to the battery cell and improve the overall safety of the battery pack in hazardous conditions. Moreover, the design may allow for more efficient charging/discharging of the cells that are most ready to accept/supply current.
10044751	USING RECURRENT NEURAL NETWORKS TO DEFEAT DNS DENIAL OF SERVICE ATTACKS. A system for mitigating network attacks is provided. The system includes a protected network including a plurality of devices. The system further includes one or more attack mitigation devices communicatively coupled to the protected network. The attack mitigation devices are configured and operable to employ a recurrent neural network (RNN) to obtain probability information related to a request stream. The request stream may include a plurality of at least one of: HTTP, RTSP and/or DNS messages. The attack mitigation devices are further configured to analyze the obtained probability information to detect one or more atypical requests in the request stream. The attack mitigation services are also configured and operable to perform, in response to detecting one or more atypical requests, mitigation actions on the one or more atypical requests in order to block an attack.
10049307	VISUAL OBJECT RECOGNITION. Technical solutions are described for training an object-recognition neural network that identifies an object in a computer-readable image. An example method includes assigning a first neural network for determining a visual alignment model of the images for determining a normalized alignment of the object. The method further includes assigning a second neural network for determining a visual representation model of the images for recognizing the object. The method further includes determining the visual alignment model by training the first neural network and determining the visual representation model by training the second neural network independent of the first. The method further includes determining a combined object recognition model by training a combination of the first neural network and the second neural network. The method further includes recognizing the object in the image based on the combined object recognition model by passing the image through each of the neural networks.
10050282	Oxygen Reduction Catalyst And Production Method Therefor. The present invention provides a novel oxygen reduction catalyst having a good stability and a high oxygen reduction performance. The oxygen reduction catalyst includes: a conductive oxide; and an oxide(s), having oxygen holes and provided at least on the surface of the conductive oxide, of at least one or more transition metals selected from the group consisting of Ti, Zr, Nb and Ta.
10062873	SECONDARY BATTERY AND BATTERY PACK USING THE SAME. An insertion portion of a negative electrode terminal is inserted into through-holes provided in an outer insulating member, a sealing plate, an inner insulating member, and a terminal connection portion of a negative electrode collector, and the insertion portion is crimped. A countersunk hole is provided around the through-hole of the terminal connection portion. The insertion portion of the negative electrode terminal is radially expanded in the countersunk hole. A distal end of a thin portion provided at a distal end of the crimped part of the insertion portion and the edge of the countersunk hole are welded by application of a high energy beam, and a groove is provided on the outer peripheral side of the countersunk hole.
10062975	BATTERY CONNECTOR. A connector assembly for electrically connecting poles of two adjacent battery cell. The connector assembly comprises an electrically conductive bus bar having a first connection area and a second connection area distal from each other, electrically conductive pole-mating components having a pole-mating face and a bar-mating face, and fastening components for attaching the electrically conductive bus bar and one of the pole-mating components to one of the poles of the two adjacent battery cells. The pole-mating faces of the pole-mating components are adapted for mating the poles the battery cells. The bar-mating faces of the pole-mating components are adapted for mating with the connection areas. The bar-mating faces and the connection areas have complementary concave/convex arched shape for optimizing contact surface over a range of relative positioning of the two adjacent battery cells.
10069135	POLYMERS FOR USE AS PROTECTIVE LAYERS AND OTHER COMPONENTS IN ELECTROCHEMICAL CELLS. Electrode structures and electrochemical cells are provided. The electrode structures and/or electrochemical cells described herein may include one or more protective layers comprising a polymer layer and/or a gel polymer electrolyte layer. The polymer layer may be formed from the copolymerization of an olefinic monomer comprising at least one electron withdrawing group and an olefinic comonomer comprising at least one electron donating group. Methods for forming polymer layers are also provided.
